2017-02-05 12:07:47,190 [17] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 12 }
2017-02-05 12:07:47,193 [21] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 12, Duration = 00:00:00.0036126 }
2017-02-05 12:07:47,194 [21] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 13 }
2017-02-05 12:07:47,198 [17] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 13, Duration = 00:00:00.0042919 }
2017-02-05 12:07:57,197 [22] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 14 }
2017-02-05 12:07:57,201 [10] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 14, Duration = 00:00:00.0034450 }
2017-02-05 12:07:57,201 [10] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 15 }
2017-02-05 12:07:57,204 [17] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 15, Duration = 00:00:00.0024563 }
2017-02-05 12:08:07,193 [17] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 16 }
2017-02-05 12:08:07,196 [10] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 16, Duration = 00:00:00.0032086 }
2017-02-05 12:08:07,196 [10] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 17 }
2017-02-05 12:08:07,199 [10] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "26" }, OperationId = , RequestId = 17, Duration = 00:00:00.0021882 }
2017-02-05 12:09:48,087 [13] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1, "client" : { "driver" : { "name" : "mongo-csharp-driver", "version" : "2.4.2.27" }, "os" : { "type" : "Windows", "name" : "Microsoft Windows 10.0.14393", "architecture" : "x86_32", "version" : "10.0.14393" }, "platform" : ".NET Framework 4.0.0.0" } }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1 }, OperationId = , RequestId = 1 }
2017-02-05 12:09:48,167 [8] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1 }, OperationId = , RequestId = 1, Duration = 00:00:00.1349788 }
2017-02-05 12:09:48,174 [8] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1 }, OperationId = , RequestId = 2 }
2017-02-05 12:09:48,179 [8] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1 }, OperationId = , RequestId = 2, Duration = 00:00:00.0051876 }
2017-02-05 12:09:48,189 [10] INFO  ApiCommand [(null)] - { Command = { "getLastError" : 1 }, CommandName = getLastError, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1 }, OperationId = , RequestId = 3 }
2017-02-05 12:09:48,193 [11] INFO  ApiCommand [(null)] - { CommandName = getLastError, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1 }, OperationId = , RequestId = 3, Duration = 00:00:00.0036804 }
2017-02-05 12:09:48,198 [11] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 4 }
2017-02-05 12:09:48,201 [15] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 4, Duration = 00:00:00.0032752 }
2017-02-05 12:09:48,202 [15] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 5 }
2017-02-05 12:09:48,205 [8] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 5, Duration = 00:00:00.0026497 }
2017-02-05 12:09:57,985 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 6 }
2017-02-05 12:09:57,988 [7] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 6, Duration = 00:00:00.0029076 }
2017-02-05 12:09:57,988 [7] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 7 }
2017-02-05 12:09:57,991 [7] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 7, Duration = 00:00:00.0021960 }
2017-02-05 12:10:07,992 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 8 }
2017-02-05 12:10:08,254 [13] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 8, Duration = 00:00:00.2622284 }
2017-02-05 12:10:08,255 [13] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 9 }
